name,lon,lat,variable,initmonth,leadtime,mean,stdev,pval
44_40,44.0,40.0,tmx,4,3,24.48481591381893,1.5196949916605245,0.0960591658949852
44_40,44.0,40.0,tmx,4,4,24.78487542496654,1.4420557504990166,0.995936393737793
44_40,44.0,40.0,tmx,4,5,21.17673853531032,1.5295257574636154,0.8592661023139954
44_40,44.0,40.0,tmx,4,6,14.53666886988329,1.794031610630648,0.500817060470581
44_40,44.0,40.0,tmx,5,0,16.00450325012207,1.1978280544281006,0.0500302799046039
44_40,44.0,40.0,tmx,5,1,20.84187126159668,1.3464620113372805,0.4556018114089966
44_40,44.0,40.0,tmx,5,2,24.708711624145508,1.4905987977981567,0.0960591658949852
44_40,44.0,40.0,tmx,5,3,25.06876945495605,1.5305233001708984,0.995936393737793
44_40,44.0,40.0,tmx,5,4,21.331863403320312,1.5290789604187012,0.8592661023139954
44_40,44.0,40.0,tmx,5,5,14.542936325073242,1.7369003295898438,0.500817060470581
44_40,44.0,40.0,tmx,5,6,5.798325538635254,2.312608003616333,0.2079400718212127
44_40,44.0,40.0,tmx,6,0,20.701292037963867,1.3751404285430908,0.4556018114089966
44_40,44.0,40.0,tmx,6,1,24.593019485473636,1.5450319051742554,0.0960591658949852
44_40,44.0,40.0,tmx,6,2,25.117834091186523,1.586340308189392,0.995936393737793
44_40,44.0,40.0,tmx,6,3,21.192188262939453,1.4954373836517334,0.8592661023139954
44_40,44.0,40.0,tmx,6,4,14.62960147857666,1.6978825330734253,0.500817060470581
44_40,44.0,40.0,tmx,6,5,5.954802513122559,2.214613914489746,0.2079400718212127
44_40,44.0,40.0,tmx,6,6,-1.3604705333709717,2.4608521461486816,0.2426041513681411
44_40,44.0,40.0,tmx,7,0,24.188556671142575,1.5252958536148071,0.0960591658949852
44_40,44.0,40.0,tmx,7,1,25.00831413269043,1.4877042770385742,0.995936393737793
44_40,44.0,40.0,tmx,7,2,21.039852142333984,1.5265209674835205,0.8592661023139954
44_40,44.0,40.0,tmx,7,3,14.524645805358888,1.8443547487258911,0.500817060470581
44_40,44.0,40.0,tmx,7,4,5.846717834472656,2.3345284461975098,0.2079400718212127
44_40,44.0,40.0,tmx,7,5,-1.2004854679107666,2.369584083557129,0.2426041513681411
44_40,44.0,40.0,tmx,7,6,-3.765742540359497,2.058663845062256,0.0904552415013313
44_40,44.0,40.0,tmx,8,0,24.8768253326416,1.5915457010269165,0.995936393737793
44_40,44.0,40.0,tmx,8,1,21.1474609375,1.5294592380523682,0.8592661023139954
44_40,44.0,40.0,tmx,8,2,14.702796936035156,1.6681718826293943,0.500817060470581
44_40,44.0,40.0,tmx,8,3,6.101868152618408,2.36914324760437,0.2079400718212127
44_40,44.0,40.0,tmx,8,4,-0.9922020435333252,2.473904609680176,0.2426041513681411
44_40,44.0,40.0,tmx,8,5,-3.829631090164185,2.198110342025757,0.0904552415013313
44_40,44.0,40.0,tmx,8,6,-2.0530738830566406,1.9992378950119016,0.3201948702335357
44_40,44.0,40.0,tmx,9,0,21.36202766672301,2.4635510659935784,0.8592661023139954
44_40,44.0,40.0,tmx,9,1,15.955586904172176,4.738279566606546,0.500817060470581
44_40,44.0,40.0,tmx,9,2,8.29937313981796,6.618887116737298,0.2079400718212127
44_40,44.0,40.0,tmx,9,3,1.756329001832295,8.010456181398283,0.2426041513681411
44_40,44.0,40.0,tmx,9,4,-1.038771325320597,8.751708049940168,0.0904552415013313
44_40,44.0,40.0,tmx,9,5,0.3190441842136506,8.301209879401473,0.3201948702335357
44_40,44.0,40.0,tmx,9,6,4.690681086411132,7.02326425902203,0.6540058255195618
44_40,44.0,40.0,tmx,10,0,14.427893597424337,3.8839194338015375,0.500817060470581
44_40,44.0,40.0,tmx,10,1,6.972018752297256,5.331245749485142,0.2079400718212127
44_40,44.0,40.0,tmx,10,2,0.0812517180822424,6.341768998933326,0.2426041513681411
44_40,44.0,40.0,tmx,10,3,-2.4661808052209424,6.622076820928132,0.0904552415013313
44_40,44.0,40.0,tmx,10,4,-1.049154650773762,6.396352572799393,0.3201948702335357
44_40,44.0,40.0,tmx,10,5,3.425572790657905,5.584930216609373,0.6540058255195618
44_40,44.0,40.0,tmx,10,6,10.268696786723408,4.243955679851778,0.3967041075229645
44_40,44.0,40.0,tmx,11,0,6.818584543136407,5.200629855654232,0.2079400718212127
44_40,44.0,40.0,tmx,11,1,0.1745188669778181,6.304314831832074,0.2426041513681411
44_40,44.0,40.0,tmx,11,2,-2.5353707086825814,6.548362475116483,0.0904552415013313
44_40,44.0,40.0,tmx,11,3,-0.909365426892113,6.285498056017832,0.3201948702335357
44_40,44.0,40.0,tmx,11,4,3.681113499250951,5.409102638094165,0.6540058255195618
44_40,44.0,40.0,tmx,11,5,10.31530838345918,4.087944017169623,0.3967041075229645
44_40,44.0,40.0,tmx,11,6,16.442395860821115,2.458298691128021,0.0500302799046039
44_40,44.0,40.0,tmx,12,0,0.5352461359807801,6.256839004364729,0.2426041513681411
44_40,44.0,40.0,tmx,12,1,-2.5433417424415987,6.746147693539855,0.0904552415013313
44_40,44.0,40.0,tmx,12,2,-0.9979693458073168,6.322762459898318,0.3201948702335357
44_40,44.0,40.0,tmx,12,3,3.456040923014547,5.4779927074769175,0.6540058255195618
44_40,44.0,40.0,tmx,12,4,10.243047938852316,4.018756888175513,0.3967041075229645
44_40,44.0,40.0,tmx,12,5,16.457358440952753,2.414486632396416,0.0500302799046039
44_40,44.0,40.0,tmx,12,6,21.18309569095984,1.6430453464383763,0.4556018114089966
44_40,44.0,40.0,tmn,1,0,-14.205930709838867,2.052365779876709,0.0797291174530983
44_40,44.0,40.0,tmn,1,1,-12.973142623901367,2.2197396755218506,0.5064567923545837
44_40,44.0,40.0,tmn,1,2,-8.687499046325684,1.9402313232421875,0.3217681348323822
44_40,44.0,40.0,tmn,1,3,-3.155790328979492,1.5245907306671145,0.2106529027223587
44_40,44.0,40.0,tmn,1,4,2.855520486831665,1.1998811960220337,0.9404576420783995
44_40,44.0,40.0,tmn,1,5,7.649954319000244,1.0563127994537354,0.8427702188491821
44_40,44.0,40.0,tmn,1,6,11.367145538330078,0.9356950521469116,0.1909852027893066
44_40,44.0,40.0,tmn,2,0,-12.520517349243164,2.1927504539489746,0.5064567923545837
44_40,44.0,40.0,tmn,2,1,-8.53464126586914,2.016303539276123,0.3217681348323822
44_40,44.0,40.0,tmn,2,2,-2.943532943725586,1.4823518991470337,0.2106529027223587
44_40,44.0,40.0,tmn,2,3,2.878798246383667,1.1503827571868896,0.9404576420783995
44_40,44.0,40.0,tmn,2,4,7.686380386352539,0.982962965965271,0.8427702188491821
