name,lon,lat,variable,initmonth,leadtime,alpha,loc,scale,pzero,pval
44_40,44.0,40.0,tp,1,0,3.3929344054233592,0.0,11.250438801290882,0.0,0.5497011171515727
44_40,44.0,40.0,tp,1,1,4.905220480777407,0.0,10.038642058492671,0.0,0.9998630745002152
44_40,44.0,40.0,tp,1,2,7.691140366367952,0.0,9.589637623304426,0.0,0.316329546812181
44_40,44.0,40.0,tp,1,3,10.118770610213089,0.0,10.830713540314864,0.0,0.990333277029229
44_40,44.0,40.0,tp,1,4,10.580221629537736,0.0,11.772721122352204,0.0,0.8746050140020342
44_40,44.0,40.0,tp,1,5,5.287079284606476,0.0,16.479183012257895,0.0,0.3329756241041692
44_40,44.0,40.0,tp,1,6,5.350059222150607,0.0,11.74991756381117,0.0,0.8712764426211016
44_40,44.0,40.0,tp,2,0,4.905220480777407,0.0,10.038642058492671,0.0,0.9998630745002152
44_40,44.0,40.0,tp,2,1,7.691140366367952,0.0,9.589637623304426,0.0,0.316329546812181
44_40,44.0,40.0,tp,2,2,10.118770610213089,0.0,10.830713540314864,0.0,0.990333277029229
44_40,44.0,40.0,tp,2,3,10.580221629537736,0.0,11.772721122352204,0.0,0.8746050140020342
44_40,44.0,40.0,tp,2,4,5.287079284606476,0.0,16.479183012257895,0.0,0.3329756241041692
44_40,44.0,40.0,tp,2,5,5.350059222150607,0.0,11.74991756381117,0.0,0.8712764426211016
44_40,44.0,40.0,tp,2,6,4.690495160511316,0.0,9.423258628434798,0.0,0.8587849512443035
44_40,44.0,40.0,tp,3,0,7.691140366367952,0.0,9.589637623304426,0.0,0.316329546812181
44_40,44.0,40.0,tp,3,1,10.118770610213089,0.0,10.830713540314864,0.0,0.990333277029229
44_40,44.0,40.0,tp,3,2,10.580221629537736,0.0,11.772721122352204,0.0,0.8746050140020342
44_40,44.0,40.0,tp,3,3,5.287079284606476,0.0,16.479183012257895,0.0,0.3329756241041692
44_40,44.0,40.0,tp,3,4,5.350059222150607,0.0,11.74991756381117,0.0,0.8712764426211016
44_40,44.0,40.0,tp,3,5,4.690495160511316,0.0,9.423258628434798,0.0,0.8587849512443035
44_40,44.0,40.0,tp,3,6,1.953217790372496,0.0,15.4658882830812,0.0,0.9878974060468468
44_40,44.0,40.0,tp,4,0,10.118770610213089,0.0,10.830713540314864,0.0,0.990333277029229
44_40,44.0,40.0,tp,4,1,10.580221629537736,0.0,11.772721122352204,0.0,0.8746050140020342
44_40,44.0,40.0,tp,4,2,5.287079284606476,0.0,16.479183012257895,0.0,0.3329756241041692
44_40,44.0,40.0,tp,4,3,5.350059222150607,0.0,11.74991756381117,0.0,0.8712764426211016
44_40,44.0,40.0,tp,4,4,4.690495160511316,0.0,9.423258628434798,0.0,0.8587849512443035
44_40,44.0,40.0,tp,4,5,1.953217790372496,0.0,15.4658882830812,0.0,0.9878974060468468
44_40,44.0,40.0,tp,4,6,4.1763420221197824,0.0,13.075018939632118,0.0,0.9409936717537964
44_40,44.0,40.0,tp,5,0,10.580221629537736,0.0,11.772721122352204,0.0,0.8746050140020342
44_40,44.0,40.0,tp,5,1,5.287079284606476,0.0,16.479183012257895,0.0,0.3329756241041692
44_40,44.0,40.0,tp,5,2,5.350059222150607,0.0,11.74991756381117,0.0,0.8712764426211016
44_40,44.0,40.0,tp,5,3,4.690495160511316,0.0,9.423258628434798,0.0,0.8587849512443035
44_40,44.0,40.0,tp,5,4,1.953217790372496,0.0,15.4658882830812,0.0,0.9878974060468468
44_40,44.0,40.0,tp,5,5,4.1763420221197824,0.0,13.075018939632118,0.0,0.9409936717537964
44_40,44.0,40.0,tp,5,6,1.6371068469251813,0.0,29.09309075754497,0.0,0.2805786792319357
44_40,44.0,40.0,tp,6,0,5.287079284606476,0.0,16.479183012257895,0.0,0.3329756241041692
44_40,44.0,40.0,tp,6,1,5.350059222150607,0.0,11.74991756381117,0.0,0.8712764426211016
44_40,44.0,40.0,tp,6,2,4.690495160511316,0.0,9.423258628434798,0.0,0.8587849512443035
44_40,44.0,40.0,tp,6,3,1.953217790372496,0.0,15.4658882830812,0.0,0.9878974060468468
