name,lon,lat,variable,initmonth,leadtime,mean,stdev,pval
44_40,44.0,40.0,tmx,1,0,3.01782751083374,2.528993368148804,0.0904552415013313
44_40,44.0,40.0,tmx,1,1,5.414618492126465,3.0145604610443115,0.3201948702335357
44_40,44.0,40.0,tmx,1,2,11.816508293151855,2.9801113605499268,0.6540058255195618
44_40,44.0,40.0,tmx,1,3,19.35333824157715,1.88313627243042,0.3967041075229645
44_40,44.0,40.0,tmx,1,4,24.83660316467285,1.567397952079773,0.0500302799046039
44_40,44.0,40.0,tmx,1,5,30.894418716430664,1.634291648864746,0.4556018114089966
44_40,44.0,40.0,tmx,1,6,34.846153259277344,1.602777123451233,0.0960591658949852
44_40,44.0,40.0,tmx,2,0,5.414618492126465,3.0145604610443115,0.3201948702335357
44_40,44.0,40.0,tmx,2,1,11.816508293151855,2.9801113605499268,0.6540058255195618
44_40,44.0,40.0,tmx,2,2,19.35333824157715,1.88313627243042,0.3967041075229645
44_40,44.0,40.0,tmx,2,3,24.83660316467285,1.567397952079773,0.0500302799046039
44_40,44.0,40.0,tmx,2,4,30.894418716430664,1.634291648864746,0.4556018114089966
44_40,44.0,40.0,tmx,2,5,34.846153259277344,1.602777123451233,0.0960591658949852
44_40,44.0,40.0,tmx,2,6,34.12114715576172,1.7420611381530762,0.995936393737793
44_40,44.0,40.0,tmx,3,0,11.816508293151855,2.9801113605499268,0.6540058255195618
44_40,44.0,40.0,tmx,3,1,19.35333824157715,1.88313627243042,0.3967041075229645
44_40,44.0,40.0,tmx,3,2,24.83660316467285,1.567397952079773,0.0500302799046039
44_40,44.0,40.0,tmx,3,3,30.894418716430664,1.634291648864746,0.4556018114089966
44_40,44.0,40.0,tmx,3,4,34.846153259277344,1.602777123451233,0.0960591658949852
44_40,44.0,40.0,tmx,3,5,34.12114715576172,1.7420611381530762,0.995936393737793
44_40,44.0,40.0,tmx,3,6,28.41842269897461,1.7194358110427856,0.8592661023139954
44_40,44.0,40.0,tmx,4,0,19.35333824157715,1.88313627243042,0.3967041075229645
44_40,44.0,40.0,tmx,4,1,24.83660316467285,1.567397952079773,0.0500302799046039
44_40,44.0,40.0,tmx,4,2,30.894418716430664,1.634291648864746,0.4556018114089966
44_40,44.0,40.0,tmx,4,3,34.846153259277344,1.602777123451233,0.0960591658949852
44_40,44.0,40.0,tmx,4,4,34.12114715576172,1.7420611381530762,0.995936393737793
44_40,44.0,40.0,tmx,4,5,28.41842269897461,1.7194358110427856,0.8592661023139954
44_40,44.0,40.0,tmx,4,6,20.108871459960938,1.5300108194351196,0.500817060470581
44_40,44.0,40.0,tmx,5,0,24.83660316467285,1.567397952079773,0.0500302799046039
44_40,44.0,40.0,tmx,5,1,30.894418716430664,1.634291648864746,0.4556018114089966
44_40,44.0,40.0,tmx,5,2,34.846153259277344,1.602777123451233,0.0960591658949852
44_40,44.0,40.0,tmx,5,3,34.12114715576172,1.7420611381530762,0.995936393737793
44_40,44.0,40.0,tmx,5,4,28.41842269897461,1.7194358110427856,0.8592661023139954
44_40,44.0,40.0,tmx,5,5,20.108871459960938,1.5300108194351196,0.500817060470581
44_40,44.0,40.0,tmx,5,6,11.131267547607422,2.0984549522399902,0.2079400718212127
44_40,44.0,40.0,tmx,6,0,30.894418716430664,1.634291648864746,0.4556018114089966
44_40,44.0,40.0,tmx,6,1,34.846153259277344,1.602777123451233,0.0960591658949852
44_40,44.0,40.0,tmx,6,2,34.12114715576172,1.7420611381530762,0.995936393737793
44_40,44.0,40.0,tmx,6,3,28.41842269897461,1.7194358110427856,0.8592661023139954
44_40,44.0,40.0,tmx,6,4,20.108871459960938,1.5300108194351196,0.500817060470581
44_40,44.0,40.0,tmx,6,5,11.131267547607422,2.0984549522399902,0.2079400718212127
44_40,44.0,40.0,tmx,6,6,4.908729553222656,2.8743913173675537,0.2426041513681411
44_40,44.0,40.0,tmx,7,0,34.846153259277344,1.602777123451233,0.0960591658949852
44_40,44.0,40.0,tmx,7,1,34.12114715576172,1.7420611381530762,0.995936393737793
44_40,44.0,40.0,tmx,7,2,28.41842269897461,1.7194358110427856,0.8592661023139954
44_40,44.0,40.0,tmx,7,3,20.108871459960938,1.5300108194351196,0.500817060470581
44_40,44.0,40.0,tmx,7,4,11.131267547607422,2.0984549522399902,0.2079400718212127
44_40,44.0,40.0,tmx,7,5,4.908729553222656,2.8743913173675537,0.2426041513681411
44_40,44.0,40.0,tmx,7,6,3.01782751083374,2.528993368148804,0.0904552415013313
44_40,44.0,40.0,tmx,8,0,34.12114715576172,1.7420611381530762,0.995936393737793
44_40,44.0,40.0,tmx,8,1,28.41842269897461,1.7194358110427856,0.8592661023139954
44_40,44.0,40.0,tmx,8,2,20.108871459960938,1.5300108194351196,0.500817060470581
44_40,44.0,40.0,tmx,8,3,11.131267547607422,2.0984549522399902,0.2079400718212127
44_40,44.0,40.0,tmx,8,4,4.908729553222656,2.8743913173675537,0.2426041513681411
44_40,44.0,40.0,tmx,8,5,3.01782751083374,2.528993368148804,0.0904552415013313
44_40,44.0,40.0,tmx,8,6,5.414618492126465,3.0145604610443115,0.3201948702335357
44_40,44.0,40.0,tmx,9,0,28.41842269897461,1.7194358110427856,0.8592661023139954
44_40,44.0,40.0,tmx,9,1,20.108871459960938,1.5300108194351196,0.500817060470581
44_40,44.0,40.0,tmx,9,2,11.131267547607422,2.0984549522399902,0.2079400718212127
44_40,44.0,40.0,tmx,9,3,4.908729553222656,2.8743913173675537,0.2426041513681411
44_40,44.0,40.0,tmx,9,4,3.01782751083374,2.528993368148804,0.0904552415013313
44_40,44.0,40.0,tmx,9,5,5.414618492126465,3.0145604610443115,0.3201948702335357
44_40,44.0,40.0,tmx,9,6,11.816508293151855,2.9801113605499268,0.6540058255195618
44_40,44.0,40.0,tmx,10,0,20.108871459960938,1.5300108194351196,0.500817060470581
44_40,44.0,40.0,tmx,10,1,11.131267547607422,2.0984549522399902,0.2079400718212127
