name,lon,lat,variable,initmonth,leadtime,alpha,loc,scale,pzero,pval
44_40,44.0,40.0,tp,1,0,3.9680294211094966,0.0,9.89668376134304,0.0,0.5489131034542445
44_40,44.0,40.0,tp,1,1,4.573846577555813,0.0,8.857791476553293,0.0,0.4826974085139566
44_40,44.0,40.0,tp,1,2,9.273114328143963,0.0,6.340162191272168,0.0,0.504070863886934
44_40,44.0,40.0,tp,1,3,9.49739914007528,0.0,7.918246082019183,0.0,0.3815387506766451
44_40,44.0,40.0,tp,1,4,10.151683696906447,0.0,8.992061207053169,0.0,0.447454872323416
44_40,44.0,40.0,tp,1,5,5.44246774208145,0.0,11.173478178927528,0.0,0.6167945406757083
44_40,44.0,40.0,tp,1,6,4.222648307670464,0.0,9.935147293191704,0.0,0.4588344617743594
44_40,44.0,40.0,tp,2,0,4.734299985657732,0.0,8.28674917110964,0.0,0.3632432394338657
44_40,44.0,40.0,tp,2,1,9.21107597967442,0.0,6.684579978292829,0.0,0.4834402416207707
44_40,44.0,40.0,tp,2,2,10.20256861820408,0.0,7.824498117114674,0.0,0.5005064920011628
44_40,44.0,40.0,tp,2,3,9.796400565526405,0.0,9.772806490097084,0.0,0.4746726671977828
44_40,44.0,40.0,tp,2,4,5.591119696936962,0.0,11.8832296549841,0.0,0.5384315327522251
44_40,44.0,40.0,tp,2,5,4.368473454135619,0.0,10.11272304484025,0.0,0.5111775111173267
44_40,44.0,40.0,tp,2,6,3.829783661370993,0.0,9.323057098025489,0.0,0.4655277921882818
44_40,44.0,40.0,tp,3,0,8.964782371455996,0.0,7.266763226079167,0.0,0.4983593784132112
44_40,44.0,40.0,tp,3,1,12.5162555866729,0.0,6.894112575369555,0.0,0.4819768501934551
44_40,44.0,40.0,tp,3,2,9.828729157960636,0.0,10.231365197646074,0.0,0.3926584915461831
44_40,44.0,40.0,tp,3,3,5.110055815147235,0.0,13.033701749985903,0.0,0.5083727813630526
44_40,44.0,40.0,tp,3,4,4.13801343198871,0.0,10.731669161439417,0.0,0.5103822758994839
44_40,44.0,40.0,tp,3,5,4.440243445180243,0.0,8.982695111384785,0.0,0.5260125685882504
44_40,44.0,40.0,tp,3,6,2.3738447425890445,0.0,10.200571449371372,0.0,0.4590673757623438
44_40,44.0,40.0,tp,4,0,13.79829419732796,0.0,6.622847480843396,0.0,0.5441654978020923
44_40,44.0,40.0,tp,4,1,10.933579436271216,0.0,9.428689559201686,0.0,0.4604615932974955
44_40,44.0,40.0,tp,4,2,5.3713659046934366,0.0,11.994875231348148,0.0,0.4464187848845086
44_40,44.0,40.0,tp,4,3,4.099858857141916,0.0,10.785022408417644,0.0,0.521707621045421
44_40,44.0,40.0,tp,4,4,4.270982287946047,0.0,9.13318789167471,0.0,0.5774647917295171
44_40,44.0,40.0,tp,4,5,2.7913589567835992,0.0,8.818690611775718,0.0,0.4450638200950705
44_40,44.0,40.0,tp,4,6,2.79434904424494,0.0,16.098592457062487,0.0,0.4360768642483645
44_40,44.0,40.0,tp,5,0,15.51935515213808,0.0,6.875123729786018,0.0,0.48405505420842
